NUVATION BIO INC,67080N101,3600,423500,SH,,DFND,1,2,3,4,423500,0,0
OVERSTOCK COM INC DEL,690370101,4131,70000,SH,Call,DFND,1,2,3,4,70000,0,0
PALO ALTO NETWORKS INC,697435105,8184,14700,SH,Put,DFND,1,2,3,4,14700,0,0
PALO ALTO NETWORKS INC,697435105,21658,38900,SH,,DFND,1,2,3,4,38900,0,0
PRAXIS PRECISION MEDICINES I,74006W108,8165,414489,SH,,DFND,1,2,3,4,414489,0,0
PROMETHEUS BIOSCIENCES INC,74349U108,2030,51332,SH,,DFND,1,2,3,4,51332,0,0
RADIUS HEALTH INC,750469207,1085,156800,SH,Call,DFND,1,2,3,4,156800,0,0
RADIUS HEALTH INC,750469207,2249,325000,SH,,DFND,1,2,3,4,325000,0,0
RAPT THERAPEUTICS INC,75382E109,3673,100000,SH,Call,DFND,1,2,3,4,100000,0,0
RAPT THERAPEUTICS INC,75382E109,42178,1148321,SH,,DFND,1,2,3,4,1148321,0,0
RENAISSANCERE HLDGS LTD,G7496G103,29633,175000,SH,,DFND,1,2,3,4,175000,0,0
SCYNEXIS INC,811292200,4862,797048,SH,,DFND,1,2,3,4,797048,0,0
SIGNATURE BK NEW YORK N Y,82669G104,17488,54065,SH,,DFND,1,2,3,4,54065,0,0
SOL GEL TECHNOLOGIES,M8694L103,6163,832800,SH,,DFND,1,2,3,4,832800,0,0
SOVOS BRANDS INC,84612U107,6226,413672,SH,,DFND,1,2,3,4,413672,0,0
TANDEM DIABETES CARE INC,875372203,22578,150000,SH,,DFND,1,2,3,4,150000,0,0
TECK RESOURCES LTD,878742204,10371,359850,SH,,DFND,1,2,3,4,359850,0,0
TRILOGY METALS INC NEW,89621C105,2761,1673461,SH,,DFND,1,2,3,4,1673461,0,0
UNDER ARMOUR INC,904311107,14769,697000,SH,,DFND,1,2,3,4,697000,0,0
UNITED RENTALS INC,911363109,14992,45117,SH,,DFND,1,2,3,4,45117,0,0
VERTEX PHARMACEUTICALS INC,92532F100,16975,77300,SH,,DFND,1,2,3,4,77300,0,0
VINCERX PHARMA INC,92731L106,3923,385000,SH,,DFND,1,2,3,4,385000,0,0
WILLSCOT MOBIL MINI HLDNG CO,971378104,10477,256529,SH,,DFND,1,2,3,4,256529,0,0
WNS HLDGS LTD,92932M101,2426,27500,SH,,DFND,1,2,3,4,27500,0,0
